Ministerstwo,Nazwa biura/departamentu,Link to biura,Znalezione maile
Ministerstwo Zdrowia,Departament Prawny,https://www.gov.pl/web/zdrowie/departamentprawny,{'dep-pr@mz.gov.pl'}
Ministerstwo Zdrowia,Departament Ratownictwa Medycznego i Obronności,https://www.gov.pl/web/zdrowie/departament-ratownictwa-medycznegoobronnosci,{'dep-so@mz.gov.pl'}
Ministerstwo Zdrowia,Departament Polityki Lekowej i Farmacji,https://www.gov.pl/web/zdrowie/departament-polityki-lekowejfarmacji,{'dep-pl@mz.gov.pl'}
Ministerstwo Zdrowia,Departament Nadzoru i Kontroli,https://www.gov.pl/web/zdrowie/departament-nadzoru-i-kontroli,{'dep-dn@mz.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Koordynacji Systemów Zabezpieczenia Społecznego,https://www.gov.pl/web/rodzina/departament-koordynacji-systemow-zabezpieczenia-spolecznego,{'sekretariat.dsz@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Rynku Pracy,https://www.gov.pl/web/rodzina/departament-rynku-pracy,{'sekretariat.DRP@mrpips.gov.pl'}
Ministerstwo Zdrowia,Departament Pielęgniarek i Położnych,https://www.gov.pl/web/zdrowie/departament-pielegniarekpoloznych,{'dep-pp@mz.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Wdrażania Europejskiego Funduszu Społecznego,https://www.gov.pl/web/rodzina/departament-wdrazania-europejskiego-funduszu-spolecznego,{'sekretariat.DWF@mrpips.gov.pl'}
Ministerstwo Zdrowia,Departament Kwalifikacji Medycznych i Nauki,https://www.gov.pl/web/zdrowie/departament-kwalifikacji-medycznych-i-nauki,{'dep-ns@mz.gov.pl'}
Ministerstwo Zdrowia,Departament Oceny Inwestycji,https://www.gov.pl/web/zdrowie/departament-oceny-inwestycji,{'dep-doci@mz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Sekretariat Ministra,https://www.gov.pl/web/dyplomacja/sekretariat-ministra,{'SM.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Inspektorat Służby Zagranicznej,https://www.gov.pl/web/dyplomacja/inspektorat-sluzby-zagranicznej,{'ISZ.Sekretariat@msz.gov.pl'}
Ministerstwo Spraw Zagranicznych,Protokół Dyplomatyczny,https://www.gov.pl/web/dyplomacja/protokol-dyplomatyczny1,{'PD.Sekretariat@msz.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Komunikacji i Promocji,https://www.gov.pl/web/rolnictwo/departament-komunikacji-i-promocji,{'rzecznik.prasowy@minrol.gov.pl'}
Ministerstwo Spraw Zagranicznych,Departament Współpracy z Polonią i Polakami za Granicą,https://www.gov.pl/web/dyplomacja/departament-wspolpracy-z-polonia-i-polakami-za-granica,{'DWPPG.Sekretariat@msz.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Budżetu i Finansów,https://www.gov.pl/web/rolnictwo/departament-budzetu-i-finansow,{'sekretariat.bf@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Jakości Żywności i Bezpieczeństwa Produkcji Roślinnej,https://www.gov.pl/web/rolnictwo/departament-jakosci-zywnosci-i-bezpieczenstwa-produkcji-roslinnej,{'sekretariat.jpr@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Klimatu i Środowiska,https://www.gov.pl/web/rolnictwo/departament-klimatu-i-srodowiska,{'sekretariat.ks@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Płatności Obszarowych,https://www.gov.pl/web/rolnictwo/departament-platnosci-obszarowych,{'sekretariat.po@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Polityki Międzynarodowej,https://www.gov.pl/web/rolnictwo/departament-polityki-miedzynarodowej,{'sekretariat.pm@minrol.gov.pl'}
Ministerstwo Rolnictwa i Rozwoju Wsi,Departament Oświaty i Polityki Społecznej Wsi,https://www.gov.pl/web/rolnictwo/departament-oswiaty-i-polityki-spolecznej-wsi,{'sekretariat.ops@minrol.gov.pl'}
Ministerstwo Infrastruktury,Biuro Administracyjno-Finansowe (BAF),https://www.gov.pl/web/infrastruktura/biuro-administracyjno-finansowe-baf,{'sekretariatBAF@mi.gov.pl'}
Ministerstwo Infrastruktury,Biuro Zarządzania Kryzysowego (BZK),https://www.gov.pl/web/infrastruktura/biuro-zarzadzania-kryzysowego-bzk,{'sekretariatBZK@mi.gov.pl'}
Ministerstwo Infrastruktury,Departament Transportu Drogowego (DTD),https://www.gov.pl/web/infrastruktura/departament-transportu-drogowego-dtd,{'sekretariatDTD@mi.gov.pl'}
Ministerstwo Zdrowia,Biuro Komunikacji,https://www.gov.pl/web/zdrowie/biuro-komunikacji,{'biurokomunikacji@mz.gov.pl'}
Ministerstwo Zdrowia,Biuro Administracyjne,https://www.gov.pl/web/zdrowie/biuro-administracyjne,{'biuro-ba@mz.gov.pl'}
Ministerstwo Zdrowia,Biuro Ministra,https://www.gov.pl/web/zdrowie/biuroministra,{'biuro-bm@mz.gov.pl'}
Ministerstwo Zdrowia,Departament Zdrowia Publicznego i Rodziny,https://www.gov.pl/web/zdrowie/departament-zdrowia-publicznego-i-rodziny,{'dep-zp@mz.gov.pl'}
Ministerstwo Zdrowia,Departament Współpracy Międzynarodowej,https://www.gov.pl/web/zdrowie/departament-wspolpracymiedzynarodowej,{'dep-wm@mz.gov.pl'}
Ministerstwo Zdrowia,Departament Systemu Zdrowia,https://www.gov.pl/web/zdrowie/departament-systemu-zdrowia,{'dep-sys@mz.gov.pl'}
Ministerstwo Aktywów Państwowych,Departament Prawny,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-biuro-prawne,{'sekretariatDP@map.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Współpracy Międzynarodowej,https://www.gov.pl/web/rodzina/departament-wspolpracy-miedzynarodowej,{'sekretariat.DWM@mrpips.gov.pl'}
Ministerstwo Aktywów Państwowych,Departament Nadzoru II,https://www.gov.pl/web/aktywa-panstwowe/departament-nadzoru-ii,{'sekretariatDNII@map.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Pomocy i Integracji Społecznej,https://www.gov.pl/web/rodzina/departament-pomocy-i-integracji-spolecznej1,{'sekretariat.dps@mrpips.gov.pl'}
Ministerstwo Aktywów Państwowych,Departament Komunikacji,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-departament-komunikacji,{'sekretariatDKO@map.gov.pl'}
Ministerstwo Aktywów Państwowych,Departament Nadzoru I,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-departament-nadzoru-i,{'sekretariatDNI@map.gov.pl'}
Ministerstwo Aktywów Państwowych,Departament Kontroli i Audytu,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-departament-kontroli-i-audytu,"{'sekretariatDKA@map.gov.pl', 'sekretariatDKA@me.gov.pl'}"
Ministerstwo Aktywów Państwowych,Departament Górnictwa,https://www.gov.pl/web/aktywa-panstwowe/biura-i-departamenty-departament-gornictwa,"{'sekretariatDGA@me.gov.pl', 'sekretariatDGA@map.gov.pl'}"
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Biuro Budżetu i Finansów,https://www.gov.pl/web/rodzina/biuro-budzetu-i-finansow,{'sekretariat.BBF@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Analiz Ekonomicznych i Prognoz,https://www.gov.pl/web/rodzina/departament-analiz-ekonomicznych-i-prognoz,{'sekretariat.dae@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Funduszy,https://www.gov.pl/web/rodzina/departament-funduszy,{'sekretariat.DF@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Dialogu i Partnerstwa Społecznego,https://www.gov.pl/web/rodzina/departament-dialogu-i-partnerstwa-spolecznego,{'sekretariat.DDP@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Prawa Pracy,https://www.gov.pl/web/rodzina/departament-prawa-pracy,{'sekretariat.dpr@mrpips.gov.pl'}
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Departament Ekonomii Społecznej i Solidarnej,https://www.gov.pl/web/rodzina/departament-ekonomii-spolecznej-i-solidarnej,set()
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",Biuro Kontroli i Audytu,https://www.gov.pl/web/rodzina/biuro-kontroli-i-audytu,{'sekretariat.BKA@mrpips.gov.pl'}
